-100,-50,1
-100,-61,0
-100,-40,1
-100,-5,0
-99,45,1
-99,23,0
-99,18,1
-99,39,0
-99,38,0
-98,44,0
-98,-48,0
-98,34,0
-97,70,1
-97,-80,0
-97,-4,1
-97,58,0
-97,-62,1
-97,86,0
-97,33,1
-97,26,0
-97,69,1
-97,-56,0
-97,48,1
-97,-37,0
-96,81,0
-96,43,0
-96,82,0
-96,-40,0
-95,27,1
-95,83,0
-95,30,1
-94,62,0
-94,-55,0
-94,-64,0
-94,17,1
-93,-5,0
-93,-72,0
-93,53,0
-92,22,1
-92,99,0
-92,-19,1
-92,71,1
-92,38,1
-92,-80,0
-92,33,1
-92,24,0
-92,71,1
-92,-96,0
-92,-60,0
-91,-12,0
-91,-73,0
-91,40,0
-91,85,0
-91,-32,0
-91,15,0
-91,60,0
-91,-55,1
-90,-33,0
-90,71,1
-90,4,0
-90,84,1
-90,69,1
-89,-25,0
-89,-80,1
-89,-24,0
-89,-93,1
-88,31,0
-88,-18,1
-88,-40,0
-88,82,1
-88,-82,0
-87,23,0
-86,-23,0
-86,-68,1
-86,-41,0
-86,-62,1
-86,60,0
-86,28,1
-86,-47,0
-86,52,0
-86,-80,0
-85,-73,1
-85,91,0
-85,-79,1
-85,-19,0
-85,24,1
-85,39,0
-85,-32,0
-84,43,0
-83,79,1
-83,-59,0
-83,49,1
-83,-80,1
-83,-48,0
-83,4,1
-83,-40,0
-83,48,1
-82,31,0
-82,-45,1
-82,8,0
-81,-1,1
-81,67,0
-81,-37,0
-81,43,0
-80,-38,0
-80,12,0
-80,-40,0
-80,-75,0
-80,-88,0
-80,-35,0
-79,-8,1
-79,-98,0
-79,70,1
-79,67,0
-78,-66,0
-78,68,0
-78,95,1
-78,-77,0
-78,21,1
-78,-86,0
-78,-74,0
-77,97,0
-77,6,1
-77,-11,0
-76,-10,0
-76,90,0
-76,-35,0
-75,-9,1
-75,-93,0
-75,-19,1
-75,-51,0
-75,14,0
-74,-67,0
-74,-80,0
-74,-94,0
-73,74,1
-73,30,0
-73,-97,1
-73,-42,1
-73,-42,1
-73,-20,0
-72,83,1
-72,-70,0
-72,30,1
-72,75,0
-71,-7,1
-71,-87,0
-71,-49,0
-70,41,0
-70,37,0
-70,85,0
-70,41,0
-69,-22,0
-69,-6,1
-69,66,0
-69,-8,1
-69,93,0
-69,-18,1
-69,-49,0
-69,-29,1
-69,-77,0
-69,-94,0
-69,64,0
-68,67,1
-68,83,0
