1,0
2,1
3,7
4,2
5,5
6,8
7,16
8,3
9,19
10,6
11,14
12,9
13,9
14,17
15,17
16,4
17,12
18,20
19,20
20,7
21,7
22,15
23,15
24,10
25,23
26,10
27,111
28,18
29,18
30,18
31,106
32,5
33,26
34,13
35,13
36,21
37,21
38,21
39,34
40,8
41,109
42,8
43,29
44,16
45,16
46,16
47,104
48,11
49,24
50,24
51,24
52,11
53,11
54,112
55,112
56,19
57,32
58,19
59,32
60,19
61,19
62,107
63,107
64,6
65,27
66,27
67,27
68,14
69,14
70,14
71,102
72,22
73,115
74,22
75,14
76,22
77,22
78,35
79,35
80,9
81,22
82,110
83,110
84,9
85,9
86,30
87,30
88,17
89,30
90,17
91,92
92,17
93,17
94,105
95,105
96,12
97,118
98,25
99,25
100,25
101,25
102,25
103,87
104,12
105,38
106,12
107,100
108,113
109,113
110,113
111,69
112,20
113,12
114,33
115,33
116,20
117,20
118,33
119,33
120,20
121,95
122,20
123,46
124,108
125,108
126,108
127,46
128,7
129,121
130,28
131,28
132,28
133,28
134,28
135,41
136,15
137,90
138,15
139,41
140,15
141,15
142,103
143,103
144,23
145,116
146,116
147,116
148,23
149,23
150,15
151,15
152,23
153,36
154,23
155,85
156,36
157,36
158,36
159,54
160,10
161,98
162,23
163,23
164,111
165,111
166,111
167,67
168,10
169,49
170,10
171,124
172,31
173,31
174,31
175,80
176,18
177,31
178,31
179,31
180,18
181,18
182,93
183,93
184,18
185,44
186,18
187,44
188,106
189,106
190,106
191,44
192,13
193,119
194,119
195,119
196,26
197,26
198,26
199,119
200,26
201,18
202,26
203,39
204,26
205,26
206,88
207,88
208,13
209,39
210,39
211,39
212,13
213,13
214,101
215,101
216,114
217,26
218,114
219,52
220,114
221,114
222,70
223,70
224,21
225,52
226,13
227,13
228,34
229,34
230,34
231,127
232,21
233,83
234,21
235,127
236,34
237,34
238,34
239,52
240,21
241,21
242,96
243,96
244,21
245,21
246,47
247,47
248,109
249,47
250,109
251,65
252,109
253,109
254,47
255,47
256,8
257,122
258,122
259,122
260,29
261,29
262,29
263,78
264,29
265,122
266,29
267,21
268,29
269,29
270,42
271,42
272,16
273,29
274,91
275,91
276,16
277,16
278,42
279,42
280,16
281,42
282,16
283,60
284,104
285,104
286,104
287,42
288,24
289,29
290,117
291,117
292,117
293,117
294,117
295,55
296,24
297,73
298,24
299,117
300,16
301,16
302,16
303,42
304,24
305,37
306,37
307,37
308,24
309,24
310,86
311,86
312,37
313,130
314,37
315,37
316,37
317,37
318,55
319,55
320,11
321,24
322,99
323,99
324,24
325,24
326,24
327,143
328,112
329,50
330,112
331,24
332,112
333,112
334,68
335,68
336,11
337,112
338,50
339,50
340,11
341,11
342,125
343,125
344,32
345,125
346,32
347,125
348,32
349,32
350,81
351,81
352,19
353,125
354,32
355,32
356,32
357,32
358,32
359,50
360,19
361,45
362,19
363,45
364,94
365,94
366,94
367,45
368,19
369,19
370,45
371,45
372,19
373,19
374,45
375,45
376,107
377,63
378,107
379,58
380,107
381,107
382,45
383,45
384,14
385,32
386,120
387,120
388,120
389,120
390,120
391,120
392,27
393,58
394,27
395,76
396,27
397,27
398,120
399,120
400,27
401,19
402,19
403,19
404,27
405,27
406,40
407,40
408,27
409,40
410,27
411,133
412,89
413,89
414,89
415,133
416,14
417,133
418,40
419,40
420,40
421,40
